Reference, Quantity, Value, Footprint, Datasheet, Bezug, Typ
L3 ,1,"L-1812AF 330µ 100mA","Inductors_SMD:L_1812","https://www.reichelt.de/index.html?ACTION=7&LA=3&OPEN=0&INDEX=0&FILENAME=B400%2FDS_1812AF-1.pdf","https://www.reichelt.de/chip-induktivitaet-1812af-330-h-l-1812af-330--p138596.html?&trstct=pol_0&nbc=1","330µH"
P1 P2 ,2,"1,0K lin","mylib:Trimmer_Vishay_T7YA","https://www.reichelt.de/praezisionspotentiometer-trimmer-liegend-1-0-kohm-6-6-mm-75h-1-0k-p3475.html?&trstct=pol_2&nbc=1","https://www.reichelt.de/praezisionspotentiometer-trimmer-liegend-1-0-kohm-6-6-mm-75h-1-0k-p3475.html?&trstct=pol_2&nbc=1","75H 1,0K"
Q1 Q2 ,2,"IRLML 2244","TO_SOT_Packages_SMD:SOT-23","https://www.reichelt.de/index.html?ACTION=7&LA=3&OPEN=0&INDEX=0&FILENAME=A200%2FDS_IRLML2244-IR.pdf","https://www.reichelt.de/mosfet-p-ch-20v-4-3a-1-3w-sot-23-irlml-2244-p132143.html?&trstct=pol_8&nbc=1",""
R102 R103 R104 R105 R106 R107 R108 R109 R110 R112 R113 R114 R115 R116 R117 R93 R94 R95 R96 R97 R98 R99 R100 R101 R92 R91 R90 R89 R88 R87 R86 R111 R142 R143 R144 R145 R146 R147 R148 R149 R134 R135 R136 R137 R138 R139 R140 R141 ,48,"7k5","Resistors_SMD:R_1206","","","7k5 250mW"
R121 R122 ,2,"3k0 0,1%","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~","https://www.mouser.de/ProductDetail/TE-Connectivity-Holsworthy/H83K0BYA/?qs=sGAEpiMZZMsPqMdJzcrNwmqCbm4q8Q%252BC24IgqxiMTaA%3D","3k 0,1%"
R124 R126 R170 R50 ,4,"10k","Resistors_SMD:R_0805","~","","10k"
R127 R125 ,2,"30k 0,1%","Resistors_SMD:R_1206","~","https://www.reichelt.de/smd-widerstand-1206-30-kohm-125-mw-0-1--spr-1206-30-0k-p123445.html?&trstct=pol_1&nbc=1","30k 0,1% 25ppm"
R128 ,1,"16k","Resistors_SMD:R_0805","","","10k"
R129 R130 ,2,"90k 0,1%","Resistors_SMD:R_1206","https://www.vishay.com/doc?28700","https://www.mouser.de/ProductDetail/Vishay-Beyschlag/MCA12060D9002BP500?qs=sGAEpiMZZMvdGkrng054tylseMa3ZBi%2FrBJr%252BYHQ8Uk%3D","90k 0,1% 25ppm"
R133 ,1,"220k","Resistors_SMD:R_1206","~"
R154 R155 R153 R152 R151 R131 R156 R132 R150 R158 R159 R160 R161 R162 R157 ,15,"51","Resistors_SMD:R_0603","","","30-180"
R163 R165 R169 R171 ,4,"10","Resistors_SMD:R_0603","~","","opt"
R164 R167 R168 R166 ,4,"120","Resistors_SMD:R_1206","SMD 1206 1/4W 120 1%","https://www.reichelt.de/smd-widerstand-1206-120-ohm-250-mw-1--vis-crcw1206120-p238104.html?&trstct=pol_3&nbc=1","120"
R25 R26 R27 R28 R29 R31 R32 R17 R18 R19 R20 R21 R22 R23 R24 R30 ,16,"1k1","Resistors_SMD:R_1206","","https://www.reichelt.de/smd-widerstand-1206-1-2-kohm-250-mw-1--wal-wr12x1201ftl-p346655.html?&trstct=pol_0&nbc=1","alt: 220"
R41 R42 R43 R44 R45 R46 R47 R48 R33 R34 R35 R36 R37 R38 R39 R40 ,16,"3k3","Resistors_SMD:R_1206","","https://www.reichelt.de/widerstand-metallschicht-3-30-kohm-0207-0-6-w-1--metall-3-30k-p11693.html?&trstct=pol_0&nbc=1","3k3"
R51 R123 ,2,"680k","Resistors_SMD:R_1206","","","680k"
R54 R55 R53 R56 R60 R57 R58 R59 ,8,"120","Resistors_SMD:R_1206_HandSoldering","RND 1206 1 120 SMD-Widerstand, 1206, 120 Ohm, 250 mW, 1%","https://www.reichelt.de/smd-widerstand-1206-120-ohm-250-mw-1--rnd-1206-1-120-p183350.html?&trstct=pol_0&nbc=1","120"
R61 R119 R52 R49 R118 R67 ,6,"10k","Resistors_SMD:R_1206","","","10k"
R62 R68 ,2,"10k","Resistors_SMD:R_1206_HandSoldering","","https://www.reichelt.de/smd-widerstand-1206-10-kohm-250-mw-1--vis-crcw120610k-p238102.html?&trstct=pol_2&nbc=1","10k"
R65 R64 R63 R66 R70 R71 R72 R73 R74 R75 R76 R77 R79 R80 R81 R83 R84 R85 R82 R78 ,20,"1650","Resistors_SMD:R_1206","SMD 1206 1/4W 1,6K 5%","https://www.reichelt.de/smd-widerstand-1206-1-6-kohm-250-mw-5--smd-1-4w-1-6k-p18236.html?&trstct=pol_0&nbc=1","1650"
R69 R120 ,2,"1k 0,1%","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~","https://www.reichelt.de/widerstand-metallschicht-1-0-kohm-axial-250-mw-0-1--irc-r5dlf1k0bb-p237466.html?&trstct=pol_3&nbc=1","1k 0,1%"
R9 R10 R11 R12 R13 R14 R15 R16 R1 R2 R3 R4 R5 R6 R7 R8 ,16,"6k8 500mW","Resistors_SMD:R_1206","ESR18EZPF6801","https://www.mouser.de/ProductDetail/ROHM-Semiconductor/ESR18EZPF6801?qs=sGAEpiMZZMvdGkrng054t621aZ%2Fa1rARbQSjyEWjpLndAmxcI%252Bv65Q%3D%3D","alt: 6k2 500mW"
